Proyecto,Tipo,Capacidad,Departamento,Municipio,Código Departamento,Código Municipio,Fecha estimada FPO,Energía [kWh/día],Usuarios,Inversión estimada [COP],Empleos estimados,Emisiones CO2 [Ton/año]
EL SOL BRILLA PARA UNGUIA,Solar,0.87,CHOCÓ,UNGUÍA,27,27800,2021-02-18T00:00:00.000,4176,724,3741000000,6,1219
COMPLEJO CENTRAL,Solar,0.17,ANTIOQUIA,MEDELLÍN,05,05001,2021-03-31T00:00:00.000,816,142,731000000,1,238
PUERTO DE CARTAGENA,Solar,2.2,BOLÍVAR,CARTAGENA DE INDIAS,13,13001,2021-03-31T00:00:00.000,10560,1831,9460000000,15,3084
JOHNSON & JOHNSON,Solar,1,VALLE DEL CAUCA,YUMBO,76,76892,2021-03-31T00:00:00.000,4800,832,4300000000,7,1402
ESSA GD Y AG (385 Proyectos),Solar,6.54,SANTANDER,BARRANCABERMEJA,68,68081,2022-05-31T00:00:00.000,31392,5444,28122000000,46,9166
CHEC GD Y AG (184 Proyectos),Solar,4.54,CALDAS,MANIZALES,17,17001,2022-05-31T00:00:00.000,21792,3779,19522000000,32,6363
GRANJA SOLAR BELMONTE,Solar,5.06,RISARALDA,PEREIRA,66,66001,2021-04-30T00:00:00.000,24288,4212,21758000000,35,7092
"CENTRO DE LA INDUSTRIA, LA EMPRESA Y LOS SERVICIOS - SEDE INDUSTRIA HUILA",Solar,0.06,HUILA,NEIVA,41,41001,2021-07-15T00:00:00.000,288,50,258000000,0,84
CENTRO DE GESTIÓN Y DESARROLLO AGROINDUSTRIAL DE ARAUCA,Solar,0.15,ARAUCA,ARAUCA,81,81001,2021-07-15T00:00:00.000,720,125,645000000,1,210
AFINIA GD Y AG (167 Proyectos),Solar,9.83,CÓRDOBA,MONTERÍA,23,23001,2022-05-31T00:00:00.000,47184,8182,42269000000,68,13778
EBSA GD Y AG (53 Proyectos),Solar,1.32,BOYACÁ,TUNJA,15,15001,2022-05-31T00:00:00.000,6336,1099,5676000000,9,1850
EPM GD Y AG (1469 Proyectos),Solar,23.92,ANTIOQUIA,MEDELLÍN,05,05001,2022-05-31T00:00:00.000,114816,19910,102856000000,166,33526
CELSIA GD Y AG (286 Proyectos),Solar,8.38,VALLE DEL CAUCA,CALI,76,76001,2022-05-31T00:00:00.000,40224,6975,36034000000,58,11745
ENEL GD Y AG (331 PROYECTOS),Solar,10.28,BOGOTÁ D.C.,BOGOTÁ D.C.,11,11001,2021-07-22T00:00:00.000,49344,8557,44204000000,72,14408
